suburb,postcode,lga,crime_totalIncidents,crime_year,crimeLga_ratePer100k,crimeLga_crimeScore,rent_region,rent_period,rent_1brFlat,rent_2brFlat,rent_3brFlat,rent_2brHouse,rent_3brHouse,rent_4brHouse,rent_all,rent_1brFlat_score,rent_2brFlat_score,rent_3brFlat_score,rent_2brHouse_score,rent_3brHouse_score,rent_4brHouse_score,rent_all_score,meanMedianHousePrice,meanMedianUnitPrice,housePriceScore,unitPriceScore
Beaumaris,3193,Bayside,343,2025,4053.5,1.7823,Southern Melbourne,2025-09-30,480,650,900,650,895,1295,750,0.8511,2.0,1.9524,1.1429,2.35,2.3421,3.0,2058600.0,1211100.0,3.0,3.0
Beenak,3139,Yarra Ranges,,,3669.3,2.2954,,,,,,,,,,,,,,,,,,,,
Belgrave,3160,Yarra Ranges,170,2025,3669.3,2.2954,,,,,,,,,,,,,,,,,808200.0,,-0.69,
Belgrave Heights,3160,Yarra Ranges,18,2025,3669.3,2.2954,,,,,,,,,,,,,,,,,1071620.0,,0.2423,
Belgrave South,3160,Yarra Ranges,50,2025,3669.3,2.2954,,,,,,,,,,,,,,,,,,,,
Bellfield,3081,Banyule,198,2025,6137.2,-1.0,,,,,,,,,,,,,,,,,,,,
Bend of Islands,3097,Nillumbik,,,2567.5,3.0,,,,,,,,,,,,,,,,,,,,
Bentleigh,3204,Glen Eira,716,2025,3838.9,2.0689,Southern Melbourne,2025-09-30,405,590,750,600,735,1025,700,-0.7447,0.8,0.5238,0.4286,0.75,0.9211,2.0,1672360.0,775960.0,2.3683,1.2274
Bentleigh East,3165,Glen Eira,981,2025,3838.9,2.0689,,,,,,,,,,,,,,,,,1491900.0,974600.0,1.7297,3.0
Berwick,3806,Casey,2479,2025,5486.1,-0.1306,South Eastern Melbourne,2025-09-30,,500,550,490,560,620,600,,-1.0,-1.381,-1.1429,-1.0,-1.2105,0.0,871500.0,680400.0,-0.466,0.3603
Beveridge,3753,Whittlesea,535,2025,5327.2,0.0816,,,,,,,,,,,,,,,,,650400.0,,-1.2484,
Big Pats Creek,3799,Yarra Ranges,4,2025,3669.3,2.2954,,,,,,,,,,,,,,,,,,,,
Bittern,3918,Mornington Peninsula,124,2025,5236.7,0.2024,,,,,,,,,,,,,,,,,832900.0,642800.0,-0.6026,0.0191
Black Rock,3193,Bayside,171,2025,4053.5,1.7823,,,,,,,,,,,,,,,,,2426000.0,1188700.0,3.0,3.0
Blackburn,3130,Whitehorse,749,2025,5032.8,0.4747,Inner Eastern Melbourne,2025-09-30,460,550,644,550,620,800,600,0.4255,0.0,-0.4857,-0.2857,-0.4,-0.2632,0.0,1565260.0,803580.0,1.9893,1.478
Blackburn North,3130,Whitehorse,204,2025,5032.8,0.4747,,,,,,,,,,,,,,,,,1315100.0,870400.0,1.104,2.0844
Blackburn South,3130,Whitehorse,447,2025,5032.8,0.4747,,,,,,,,,,,,,,,,,1364660.0,783500.0,1.2794,1.2958
Blairgowrie,3942,Mornington Peninsula,105,2025,5236.7,0.2024,,,,,,,,,,,,,,,,,1397000.0,,1.3938,
