Suburb,Region,Rating
Narre Warren South,Southern,6.1
Newport,Western,8.9
Niddrie,Western,6.4
Noble Park,Southern,9
Noble Park North,Southern,6.2
North Melbourne,Inner Metro,9.3
North Warrandyte,Northern,3.5
Northcote,Northern,9.5
Notting Hill,Eastern,7
Nunawading,Eastern,8.7
Nutfield,Northern,0.5
Nyora,Southern,3.4
Oak Park,Northern,7.9
Oaklands Junction,Northern,0.5
Oakleigh,Eastern,8.7
Oakleigh East,Eastern,6.9
Oakleigh South,Eastern,6.9
Officer,Southern,6.6
Officer South,Southern,1.5
Olinda,Eastern,6
Ormond,Inner South East,8.8
Pakenham,Southern,9.2
Pakenham South,Southern,0.6
Pakenham Upper,Southern,1.5
Panton Hill,Northern,2.1
Park Orchards,Eastern,4.8
Parkdale,Southern,8.2
Parkville,Inner Metro,7.3
Parwan,Western,0.1
Pascoe Vale,Northern,8.2
Pascoe Vale South,Northern,7.3
Patterson Lakes,Southern,7.3
Pearcedale,Southern,6.4
Plenty,Northern,3.9
Plumpton,Western,1.2
Point Cook,Western,7.6
Point Leo,Southern,2.2
Port Melbourne,Inner Metro,6.7
Portsea,Southern,4.5
Powelltown,Eastern,1
Prahran,Inner South East,9.1
Preston,Northern,9.2
Princes Hill,Inner Metro,8.3
Quandong,Western,0.5
Ravenhall,Western,5.1
Red Hill,Southern,2.5
Red Hill South,Southern,2.2
Reefton,Eastern,0.2
Research,Northern,5.8
Reservoir,Northern,9.2
Richmond,Inner Metro,9.3
Ringwood,Eastern,9.7
Ringwood East,Eastern,7.8
Ringwood North,Eastern,8.2
Ripponlea,Inner Metro,8.9
Rockbank,Western,3.1
Rosanna,Northern,9
Rosebud,Southern,5.1
Rowville,Eastern,7.6
Roxburgh Park,Northern,6.5
Rye,Southern,6.7
Rythdale,Southern,0.8
Safety Beach,Southern,5
Sandhurst,Southern,3.7
Sandringham,Inner South East,9.4
Sassafras,Eastern,4.2
Scoresby,Eastern,6.2
Seabrook,Western,7.6
Seaford,Southern,8.4
Seaholme,Western,7.4
Seddon,Western,9.4
Selby,Eastern,6.1
Seville,Eastern,6.6
Seville East,Eastern,2.7
Sherbrooke,Eastern,3.5
Shoreham,Southern,1.6
Silvan,Eastern,2.4
Skye,Southern,7.4
Smiths Gully,Northern,1.1
Somers,Southern,3.1
Somerton,Northern,4.3
Somerville,Southern,9.2
Sorrento,Southern,8.7
South Kingsville,Western,7.9
South Melbourne,Inner Metro,8.9
South Morang,Northern,5.6
South Wharf,Inner Metro,8.9
South Yarra,Inner South East,9.3
Southbank,Inner Metro,9.2
Spotswood,Western,8.9
Springvale,Southern,8.7
Springvale South,Southern,7.3
St Albans,Western,9.3
St Andrews,Northern,1.5
St Andrews Beach,Southern,2.3
St Helena,Northern,6.5
St Kilda,Inner Metro,8.7
St Kilda East,Inner South East,8.3
St Kilda West,Inner Metro,7.4
Steels Creek,Eastern,0.4
Strathewen,Northern,0.4
Strathmore,Western,8.3
Strathmore Heights,Western,5.3
Strathtulloh,Western,0.9
Sunbury,Northern,7.9
Sunshine,Western,9.4
Sunshine North,Western,6.7
Sunshine West,Western,8
Surrey Hills,Eastern,9.2
Sydenham,Western,7
Tarneit,Western,7.5
Tarrawarra,Eastern,1
Taylors Hill,Western,6.5
Taylors Lakes,Western,7.9
Tecoma,Eastern,8.2
Templestowe,Eastern,6.5
Templestowe Lower,Eastern,6.5
The Basin,Eastern,6.5
The Patch,Eastern,4.5
Thomastown,Northern,7.2
Thornbury,Northern,9.1
Thornhill Park,Western,0.8
Three Bridges,Eastern,7
Tonimbuk,Southern,5
Toolangi,Eastern,0.5
Toolern Vale,Western,0.8
Tooradin,Southern,8
Toorak,Inner South East,8.6
Toorongo,Eastern,0.1
Tootgarook,Southern,5.1
Tottenham,Western,5.9
Travancore,Western,8.3
Tremont,Eastern,6.8
Truganina,Western,6.4
Tuerong,Southern,0.5
Tullamarine,Western,7.8
Tyabb,Southern,4.2
Tynong,Southern,3.2
Tynong North,Southern,6
Upper Ferntree Gully,Eastern,8.7
Upwey,Eastern,8.1
Vermont,Eastern,7.6
