suburb,postcode,lga,crime_totalIncidents,crime_year,crime_offence1,crime_offence1_proportion,crime_offence2,crime_offence2_proportion,crime_offence3,crime_offence3_proportion,crime_offence4,crime_offence4_proportion,crime_offence5,crime_offence5_proportion,crimeLga_ratePer100k,crimeLga_melbourneRank,crimeLga_melbourneRankPercentile,rent_region,rent_period,rent_1brFlat,rent_2brFlat,rent_3brFlat,rent_2brHouse,rent_3brHouse,rent_4brHouse,rent_all,rent_1brFlat_rank,rent_2brFlat_rank,rent_3brFlat_rank,rent_2brHouse_rank,rent_3brHouse_rank,rent_4brHouse_rank,rent_all_rank,rent_1brFlat_percentile,rent_2brFlat_percentile,rent_3brFlat_percentile,rent_2brHouse_percentile,rent_3brHouse_percentile,rent_4brHouse_percentile,rent_all_percentile
Bittern,3918,Mornington Peninsula,124,2025,B42 Steal from a motor vehicle,0.2661,E21 Breach family violence order,0.1613,B49 Other theft,0.0968,A231 FV Common assault,0.0565,B322 Non-residential non-aggravated burglary,0.0484,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Black Rock,3193,Bayside,171,2025,B42 Steal from a motor vehicle,0.269,B41 Motor vehicle theft,0.1111,B311 Residential aggravated burglary,0.0994,B21 Criminal damage,0.0877,B49 Other theft,0.0702,4053.5,27,16.1,,,,,,,,,,,,,,,,,,,,,,,
Blackburn,3130,Whitehorse,749,2025,B42 Steal from a motor vehicle,0.2056,B321 Residential non-aggravated burglary,0.0868,B41 Motor vehicle theft,0.0868,B49 Other theft,0.0694,B43 Steal from a retail store,0.0654,5032.8,23,29.0,Inner Eastern Melbourne,2025-09-30,460,550,644,550,620,800,600,16,26,39,31,32,37,23,83.3,74.7,61.6,69.1,68.4,62.1,78.0
Blackburn North,3130,Whitehorse,204,2025,B42 Steal from a motor vehicle,0.2206,B321 Residential non-aggravated burglary,0.0833,B21 Criminal damage,0.0784,B41 Motor vehicle theft,0.0735,B53 Obtain benefit by deception,0.0735,5032.8,23,29.0,,,,,,,,,,,,,,,,,,,,,,,
Blackburn South,3130,Whitehorse,447,2025,B42 Steal from a motor vehicle,0.3937,B41 Motor vehicle theft,0.1029,B49 Other theft,0.0962,B321 Residential non-aggravated burglary,0.0872,B21 Criminal damage,0.038,5032.8,23,29.0,,,,,,,,,,,,,,,,,,,,,,,
Blairgowrie,3942,Mornington Peninsula,105,2025,B49 Other theft,0.2476,B321 Residential non-aggravated burglary,0.1619,B42 Steal from a motor vehicle,0.0952,B21 Criminal damage,0.0667,B53 Obtain benefit by deception,0.0667,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Blind Bight,3980,Casey,15,2025,Other crimes against the person,0.3333,A731 FV Threatening behaviour,0.1333,A211 FV Serious assault,0.0667,A231 FV Common assault,0.0667,A711 FV Stalking,0.0667,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Bonbeach,3196,Kingston,233,2025,B42 Steal from a motor vehicle,0.2361,B41 Motor vehicle theft,0.0858,B49 Other theft,0.0687,E21 Breach family violence order,0.0687,B21 Criminal damage,0.0601,5702.9,15,54.8,,,,,,,,,,,,,,,,,,,,,,,
Boneo,3939,Mornington Peninsula,21,2025,B21 Criminal damage,0.1429,B49 Other theft,0.1429,E21 Breach family violence order,0.1429,A211 FV Serious assault,0.0952,B321 Residential non-aggravated burglary,0.0952,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Bonnie Brook,3335,Melton,313,2025,B42 Steal from a motor vehicle,0.1534,B49 Other theft,0.1374,E21 Breach family violence order,0.1182,B321 Residential non-aggravated burglary,0.0895,B41 Motor vehicle theft,0.0767,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Boronia,3155,Knox,1441,2025,B42 Steal from a motor vehicle,0.1589,B43 Steal from a retail store,0.1055,E21 Breach family violence order,0.0722,B21 Criminal damage,0.0715,B49 Other theft,0.0652,4872.9,25,22.6,Outer Eastern Melbourne,2025-09-30,400,500,600,520,590,680,560,26,34,44,36,37,50,29,72.2,66.7,56.6,63.9,63.3,48.4,72.0
Botanic Ridge,3977,Casey,229,2025,B42 Steal from a motor vehicle,0.2271,E21 Breach family violence order,0.1266,B49 Other theft,0.0873,B41 Motor vehicle theft,0.0742,B311 Residential aggravated burglary,0.0699,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Box Hill,3128,Whitehorse,1834,2025,B42 Steal from a motor vehicle,0.2116,B49 Other theft,0.1254,B21 Criminal damage,0.0845,B43 Steal from a retail store,0.0747,B321 Residential non-aggravated burglary,0.0594,5032.8,23,29.0,Inner Eastern Melbourne,2025-09-30,490,610,710,540,650,808,610,12,15,29,32,28,36,22,87.8,85.9,71.7,68.0,72.4,63.2,79.0
Box Hill North,3129,Whitehorse,402,2025,B42 Steal from a motor vehicle,0.2562,B321 Residential non-aggravated burglary,0.1393,B49 Other theft,0.0896,B21 Criminal damage,0.0672,B53 Obtain benefit by deception,0.0547,5032.8,23,29.0,,,,,,,,,,,,,,,,,,,,,,,
Box Hill South,3128,Whitehorse,506,2025,B42 Steal from a motor vehicle,0.253,B43 Steal from a retail store,0.1225,B41 Motor vehicle theft,0.0771,B49 Other theft,0.0632,B21 Criminal damage,0.0613,5032.8,23,29.0,,,,,,,,,,,,,,,,,,,,,,,
Braeside,3195,Kingston,227,2025,B49 Other theft,0.2599,B322 Non-residential non-aggravated burglary,0.1982,B21 Criminal damage,0.0881,B42 Steal from a motor vehicle,0.0881,B41 Motor vehicle theft,0.0529,5702.9,15,54.8,,,,,,,,,,,,,,,,,,,,,,,
Braybrook,3019,Maribyrnong,1277,2025,B42 Steal from a motor vehicle,0.26,B49 Other theft,0.0924,B43 Steal from a retail store,0.0775,B21 Criminal damage,0.0634,B41 Motor vehicle theft,0.0532,10545.5,4,90.3,,,,,,,,,,,,,,,,,,,,,,,
Briar Hill,3088,Banyule,71,2025,B42 Steal from a motor vehicle,0.2394,E21 Breach family violence order,0.1972,B49 Other theft,0.1127,B322 Non-residential non-aggravated burglary,0.0845,B41 Motor vehicle theft,0.0845,6137.2,13,61.3,,,,,,,,,,,,,,,,,,,,,,,
Brighton,3186,Bayside,1193,2025,B42 Steal from a motor vehicle,0.1987,B321 Residential non-aggravated burglary,0.078,B49 Other theft,0.0746,B21 Criminal damage,0.0696,B41 Motor vehicle theft,0.0687,4053.5,27,16.1,Southern Melbourne,2025-09-30,498,680,1000,760,1150,1650,825,11,8,6,7,2,4,2,88.9,92.9,94.9,93.8,99.0,96.8,99.0
Brighton East,3187,Glen Eira,596,2025,B42 Steal from a motor vehicle,0.1852,B311 Residential aggravated burglary,0.096,B49 Other theft,0.0774,B41 Motor vehicle theft,0.064,B321 Residential non-aggravated burglary,0.0606,3838.9,28,12.9,Southern Melbourne,2025-09-30,265,630,738,690,940,1295,835,41,14,25,17,10,10,1,55.6,86.9,75.8,83.5,90.8,90.5,100.0
Broadmeadows,3047,Hume,2857,2025,E23 Breach bail conditions,0.1519,B42 Steal from a motor vehicle,0.125,B43 Steal from a retail store,0.0707,B49 Other theft,0.0676,B21 Criminal damage,0.0543,6346.4,11,67.7,North Western Melbourne,2025-09-30,325,470,520,460,506,600,515,37,40,53,45,45,57,35,60.0,60.6,47.5,54.6,55.1,41.1,66.0
Brookfield,3338,Melton,379,2025,E21 Breach family violence order,0.1398,B49 Other theft,0.1372,B21 Criminal damage,0.1003,B42 Steal from a motor vehicle,0.0818,B321 Residential non-aggravated burglary,0.066,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,3012,Hobsons Bay,324,2025,B42 Steal from a motor vehicle,0.2469,B49 Other theft,0.1389,B322 Non-residential non-aggravated burglary,0.1049,B41 Motor vehicle theft,0.1049,B21 Criminal damage,0.0802,6402.7,10,71.0,,,,,,,,,,,,,,,,,,,,,,,
