suburb,postcode,lga,crime_totalIncidents,crime_year,crime_offence1,crime_offence1_proportion,crime_offence2,crime_offence2_proportion,crime_offence3,crime_offence3_proportion,crime_offence4,crime_offence4_proportion,crime_offence5,crime_offence5_proportion,crimeLga_ratePer100k,crimeLga_melbourneRank,crimeLga_melbourneRankPercentile,rent_region,rent_period,rent_1brFlat,rent_2brFlat,rent_3brFlat,rent_2brHouse,rent_3brHouse,rent_4brHouse,rent_all,rent_1brFlat_rank,rent_2brFlat_rank,rent_3brFlat_rank,rent_2brHouse_rank,rent_3brHouse_rank,rent_4brHouse_rank,rent_all_rank,rent_1brFlat_percentile,rent_2brFlat_percentile,rent_3brFlat_percentile,rent_2brHouse_percentile,rent_3brHouse_percentile,rent_4brHouse_percentile,rent_all_percentile
Elsternwick,3185,Glen Eira,617,2025,B42 Steal from a motor vehicle,0.2107,B43 Steal from a retail store,0.1232,B49 Other theft,0.094,B53 Obtain benefit by deception,0.0632,B321 Residential non-aggravated burglary,0.0616,3838.9,28,12.9,Southern Melbourne,2025-09-30,440,600,800,718,900,1150,600,20,17,18,13,11,15,23,78.9,83.8,82.8,87.6,89.8,85.3,78.0
Eltham,3095,Nillumbik,645,2025,B43 Steal from a retail store,0.1085,B49 Other theft,0.1054,B42 Steal from a motor vehicle,0.1023,B21 Criminal damage,0.0806,B22 Graffiti,0.062,2567.5,31,3.2,North Eastern Melbourne,2025-09-30,360,500,620,500,650,813,640,34,34,42,39,28,35,18,63.3,66.7,58.6,60.8,72.4,64.2,83.0
Eltham North,3095,Nillumbik,79,2025,B21 Criminal damage,0.1139,B42 Steal from a motor vehicle,0.0886,A231 FV Common assault,0.0759,B49 Other theft,0.0759,E21 Breach family violence order,0.0759,2567.5,31,3.2,,,,,,,,,,,,,,,,,,,,,,,
Elwood,3184,Port Phillip,847,2025,B42 Steal from a motor vehicle,0.2987,B41 Motor vehicle theft,0.0791,B49 Other theft,0.0791,B43 Steal from a retail store,0.0708,B321 Residential non-aggravated burglary,0.0649,11004.1,3,93.5,Inner Melbourne,2025-09-30,450,608,875,795,1095,1500,595,18,16,11,4,4,5,24,81.1,84.8,89.9,96.9,96.9,95.8,77.0
Emerald,3782,Cardinia,161,2025,B42 Steal from a motor vehicle,0.0994,B43 Steal from a retail store,0.087,B21 Criminal damage,0.0745,B49 Other theft,0.0745,B322 Non-residential non-aggravated burglary,0.0683,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Endeavour Hills,3802,Casey,1116,2025,B42 Steal from a motor vehicle,0.1873,E21 Breach family violence order,0.103,B43 Steal from a retail store,0.0681,A231 FV Common assault,0.06,B21 Criminal damage,0.06,5486.1,18,45.2,South Eastern Melbourne,2025-09-30,350,468,550,475,530,630,530,35,41,50,43,43,55,32,62.2,59.6,50.5,56.7,57.1,43.2,69.0
Epping,3076,Whittlesea,3353,2025,B42 Steal from a motor vehicle,0.176,B49 Other theft,0.1482,B43 Steal from a retail store,0.1005,B21 Criminal damage,0.0656,B41 Motor vehicle theft,0.0626,5327.2,21,35.5,North Eastern Melbourne,2025-09-30,400,450,520,480,530,600,530,26,43,53,42,43,57,32,72.2,57.6,47.5,57.7,57.1,41.1,69.0
Eumemmerring,3177,Casey,297,2025,B42 Steal from a motor vehicle,0.1987,B49 Other theft,0.1684,B41 Motor vehicle theft,0.0707,B21 Criminal damage,0.0606,B43 Steal from a retail store,0.0572,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Exford,3338,Melton,26,2025,B49 Other theft,0.2308,B21 Criminal damage,0.1923,A89 Other dangerous or negligent acts endangering people,0.1154,A231 FV Common assault,0.0769,B42 Steal from a motor vehicle,0.0769,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Eynesbury,3338,Wyndham,282,2025,B49 Other theft,0.4716,B42 Steal from a motor vehicle,0.0957,B321 Residential non-aggravated burglary,0.0709,B21 Criminal damage,0.0674,A231 FV Common assault,0.0426,5389.9,19,41.9,,,,,,,,,,,,,,,,,,,,,,,
Fairfield,3078,Darebin,524,2025,B42 Steal from a motor vehicle,0.2309,B43 Steal from a retail store,0.1355,B41 Motor vehicle theft,0.0878,B49 Other theft,0.0802,B21 Criminal damage,0.0782,8504.0,8,77.4,North Eastern Melbourne,2025-09-30,400,575,815,650,850,1113,550,26,23,16,21,14,17,30,72.2,77.8,84.8,79.4,86.7,83.2,71.0
Fawkner,3060,Merri-bek,827,2025,B42 Steal from a motor vehicle,0.2249,B21 Criminal damage,0.0798,B49 Other theft,0.0677,E21 Breach family violence order,0.058,B41 Motor vehicle theft,0.0544,6119.2,14,58.1,North Western Melbourne,2025-09-30,385,490,600,500,551,660,530,28,37,44,39,41,53,32,70.0,63.6,56.6,60.8,59.2,45.3,69.0
Fernshaw,3778,Yarra Ranges,,,,,,,,,,,,,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Ferntree Gully,3156,Knox,1245,2025,B42 Steal from a motor vehicle,0.1928,B49 Other theft,0.0956,B21 Criminal damage,0.0819,B43 Steal from a retail store,0.0627,E21 Breach family violence order,0.0602,4872.9,25,22.6,Outer Eastern Melbourne,2025-09-30,,520,580,518,600,720,600,,32,46,37,34,46,23,,68.7,54.5,62.9,66.3,52.6,78.0
Ferny Creek,3786,Yarra Ranges,22,2025,E21 Breach family violence order,0.3182,B42 Steal from a motor vehicle,0.1818,B321 Residential non-aggravated burglary,0.0909,A211 FV Serious assault,0.0455,A232 Non-FV Common assault,0.0455,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Fieldstone,3024,Melton,,,,,,,,,,,,,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Fingal,3939,Mornington Peninsula,29,2025,B42 Steal from a motor vehicle,0.1724,B49 Other theft,0.1379,B321 Residential non-aggravated burglary,0.1034,B322 Non-residential non-aggravated burglary,0.1034,E21 Breach family violence order,0.1034,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Fitzroy,3065,Yarra,2417,2025,B42 Steal from a motor vehicle,0.1564,B43 Steal from a retail store,0.1444,B49 Other theft,0.1163,B21 Criminal damage,0.0947,A232 Non-FV Common assault,0.0463,12460.7,2,96.8,Inner Melbourne,2025-09-30,528,750,1175,848,1100,,700,6,2,2,2,3,,8,94.4,99.0,99.0,99.0,98.0,,93.0
Fitzroy North,3068,Yarra,1064,2025,B42 Steal from a motor vehicle,0.2509,B49 Other theft,0.1034,B21 Criminal damage,0.0827,B41 Motor vehicle theft,0.0799,B44 Theft of a bicycle,0.0686,12460.7,2,96.8,Inner Melbourne,2025-09-30,500,690,1050,740,998,1295,725,10,7,4,10,5,10,7,90.0,93.9,97.0,90.7,95.9,90.5,94.0
Flemington,3031,Melbourne,1324,2025,B42 Steal from a motor vehicle,0.213,B43 Steal from a retail store,0.1125,B49 Other theft,0.0884,B21 Criminal damage,0.0733,B41 Motor vehicle theft,0.0665,17671.9,1,100.0,Inner Melbourne,2025-09-30,470,560,850,620,760,945,570,14,25,13,23,18,26,27,85.6,75.8,87.9,77.3,82.7,73.7,74.0
Flinders,3929,Mornington Peninsula,46,2025,B42 Steal from a motor vehicle,0.3043,B49 Other theft,0.1304,B321 Residential non-aggravated burglary,0.087,B41 Motor vehicle theft,0.087,B21 Criminal damage,0.0652,5236.7,22,32.3,Mornington Peninsula,2025-09-30,360,470,550,498,595,750,580,34,40,50,40,36,42,26,63.3,60.6,50.5,59.8,64.3,56.8,75.0
Footscray,3011,Maribyrnong,3617,2025,B42 Steal from a motor vehicle,0.2273,B49 Other theft,0.1031,B21 Criminal damage,0.0774,B41 Motor vehicle theft,0.0614,B321 Residential non-aggravated burglary,0.0523,10545.5,4,90.3,Outer Western Melbourne,2025-09-30,450,560,698,573,640,750,525,18,25,31,29,29,42,33,81.1,75.8,69.7,71.1,71.4,56.8,68.0
Forest Hill,3131,Whitehorse,776,2025,B42 Steal from a motor vehicle,0.268,B43 Steal from a retail store,0.107,B49 Other theft,0.1057,B41 Motor vehicle theft,0.0799,B21 Criminal damage,0.058,5032.8,23,29.0,Inner Eastern Melbourne,2025-09-30,530,578,650,540,630,750,650,5,22,38,32,30,42,17,95.6,78.8,62.6,68.0,70.4,56.8,84.0
Frankston,3199,Frankston,6816,2025,E23 Breach bail conditions,0.1517,B42 Steal from a motor vehicle,0.1222,B43 Steal from a retail store,0.0883,B21 Criminal damage,0.0764,B49 Other theft,0.0632,8866.5,7,80.6,Mornington Peninsula,2025-09-30,350,475,560,490,570,670,550,35,39,48,41,39,52,30,62.2,61.6,52.5,58.8,61.2,46.3,71.0
Frankston North,3200,Frankston,518,2025,E21 Breach family violence order,0.1429,B42 Steal from a motor vehicle,0.1158,B21 Criminal damage,0.1081,A231 FV Common assault,0.0618,B321 Residential non-aggravated burglary,0.0579,8866.5,7,80.6,,,,,,,,,,,,,,,,,,,,,,,
Frankston South,3199,Frankston,597,2025,B42 Steal from a motor vehicle,0.268,E21 Breach family violence order,0.0938,B49 Other theft,0.072,B41 Motor vehicle theft,0.057,B21 Criminal damage,0.0553,8866.5,7,80.6,,,,,,,,,,,,,,,,,,,,,,,
Fraser Rise,3336,Melton,574,2025,B49 Other theft,0.3153,B42 Steal from a motor vehicle,0.1481,B21 Criminal damage,0.0627,B41 Motor vehicle theft,0.061,E21 Breach family violence order,0.054,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Gardenvale,3185,Glen Eira,63,2025,B42 Steal from a motor vehicle,0.254,B21 Criminal damage,0.1746,B49 Other theft,0.1111,B41 Motor vehicle theft,0.0794,E21 Breach family violence order,0.0794,3838.9,28,12.9,,,,,,,,,,,,,,,,,,,,,,,
Garfield,3814,Cardinia,63,2025,E21 Breach family violence order,0.1429,B21 Criminal damage,0.127,B42 Steal from a motor vehicle,0.0952,B322 Non-residential non-aggravated burglary,0.0794,B49 Other theft,0.0794,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Garfield North,3814,Cardinia,10,2025,E21 Breach family violence order,0.4,B21 Criminal damage,0.3,B41 Motor vehicle theft,0.1,B42 Steal from a motor vehicle,0.1,B49 Other theft,0.1,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Gembrook,3783,Cardinia,80,2025,E21 Breach family violence order,0.125,B21 Criminal damage,0.1125,B322 Non-residential non-aggravated burglary,0.0875,B49 Other theft,0.0875,B321 Residential non-aggravated burglary,0.075,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Gilderoy,3797,Yarra Ranges,,,,,,,,,,,,,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Gladstone Park,3043,Hume,424,2025,B42 Steal from a motor vehicle,0.191,B49 Other theft,0.1415,B43 Steal from a retail store,0.0967,E21 Breach family violence order,0.0896,B21 Criminal damage,0.0849,6346.4,11,67.7,North Western Melbourne,2025-09-30,,450,553,500,530,620,530,,43,49,39,43,56,32,,57.6,51.5,60.8,57.1,42.1,69.0
Gladysdale,3797,Yarra Ranges,9,2025,A231 FV Common assault,0.2222,E21 Breach family violence order,0.2222,A211 FV Serious assault,0.1111,B19 Other fire related offences,0.1111,B21 Criminal damage,0.1111,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Glen Huntly,3163,Glen Eira,296,2025,B43 Steal from a retail store,0.1791,B42 Steal from a motor vehicle,0.152,B49 Other theft,0.0845,B21 Criminal damage,0.0743,E21 Breach family violence order,0.0608,3838.9,28,12.9,,,,,,,,,,,,,,,,,,,,,,,
Glen Iris,3146,Stonnington,975,2025,B42 Steal from a motor vehicle,0.2862,B321 Residential non-aggravated burglary,0.0923,B41 Motor vehicle theft,0.0913,B49 Other theft,0.0697,B311 Residential aggravated burglary,0.0626,9532.0,6,83.9,Inner Eastern Melbourne,2025-09-30,440,600,815,660,838,1195,650,20,17,16,20,15,14,17,78.9,83.8,84.8,80.4,85.7,86.3,84.0
Glen Waverley,3150,Monash,2052,2025,B42 Steal from a motor vehicle,0.2349,B49 Other theft,0.1077,B21 Criminal damage,0.0785,B321 Residential non-aggravated burglary,0.0736,B43 Steal from a retail store,0.0726,5566.4,17,48.4,Inner Eastern Melbourne,2025-09-30,550,640,660,590,640,780,695,3,13,37,25,29,40,10,97.8,87.9,63.6,75.3,71.4,58.9,91.0
Glenroy,3046,Merri-bek,1589,2025,B42 Steal from a motor vehicle,0.1976,B21 Criminal damage,0.0938,B49 Other theft,0.085,E21 Breach family violence order,0.0617,B321 Residential non-aggravated burglary,0.0485,6119.2,14,58.1,North Western Melbourne,2025-09-30,385,490,600,500,551,660,530,28,37,44,39,41,53,32,70.0,63.6,56.6,60.8,59.2,45.3,69.0
Gowanbrae,3043,Merri-bek,48,2025,B42 Steal from a motor vehicle,0.2917,E21 Breach family violence order,0.2292,B21 Criminal damage,0.1042,B41 Motor vehicle theft,0.1042,A231 FV Common assault,0.0625,6119.2,14,58.1,,,,,,,,,,,,,,,,,,,,,,,
Grangefields,3335,Melton,413,2025,B49 Other theft,0.9056,E23 Breach bail conditions,0.0194,B42 Steal from a motor vehicle,0.0145,B41 Motor vehicle theft,0.0121,B51 Forgery and counterfeiting,0.0097,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Greensborough,3088,Nillumbik,1121,2025,B43 Steal from a retail store,0.1525,B42 Steal from a motor vehicle,0.1383,B49 Other theft,0.0803,E21 Breach family violence order,0.0687,B21 Criminal damage,0.0633,2567.5,31,3.2,North Eastern Melbourne,2025-09-30,420,490,580,500,570,600,560,24,37,46,39,39,57,29,74.4,63.6,54.5,60.8,61.2,41.1,72.0
Greenvale,3059,Hume,742,2025,B42 Steal from a motor vehicle,0.1792,B49 Other theft,0.1402,B41 Motor vehicle theft,0.0714,B21 Criminal damage,0.066,B321 Residential non-aggravated burglary,0.0606,6346.4,11,67.7,,,,,,,,,,,,,,,,,,,,,,,
Gruyere,3770,Yarra Ranges,34,2025,B49 Other theft,0.1765,A231 FV Common assault,0.1176,A731 FV Threatening behaviour,0.0882,E21 Breach family violence order,0.0882,A211 FV Serious assault,0.0588,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Guys Hill,3807,Cardinia,5,2025,"A22 Assault police, emergency services or other authorised officer",0.2,A731 FV Threatening behaviour,0.2,B311 Residential aggravated burglary,0.2,B42 Steal from a motor vehicle,0.2,B49 Other theft,0.2,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
HMAS Cerberus,3920,Mornington Peninsula,6,2025,A212 Non-FV Serious assault,0.1667,Other crimes against the person,0.1667,B21 Criminal damage,0.1667,B321 Residential non-aggravated burglary,0.1667,B42 Steal from a motor vehicle,0.1667,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Hadfield,3046,Merri-bek,459,2025,B42 Steal from a motor vehicle,0.1656,B21 Criminal damage,0.0959,B43 Steal from a retail store,0.0806,E21 Breach family violence order,0.0806,B49 Other theft,0.0697,6119.2,14,58.1,,,,,,,,,,,,,,,,,,,,,,,
Hallam,3803,Casey,1220,2025,B42 Steal from a motor vehicle,0.2426,B41 Motor vehicle theft,0.0852,B43 Steal from a retail store,0.0795,B49 Other theft,0.0746,B322 Non-residential non-aggravated burglary,0.0639,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Hampton,3188,Bayside,636,2025,B42 Steal from a motor vehicle,0.1824,B43 Steal from a retail store,0.1022,B21 Criminal damage,0.0818,B49 Other theft,0.0802,B41 Motor vehicle theft,0.0786,4053.5,27,16.1,Southern Melbourne,2025-09-30,480,650,900,650,895,1295,750,13,11,8,21,12,10,5,86.7,89.9,92.9,79.4,88.8,90.5,96.0
Hampton East,3188,Bayside,342,2025,B42 Steal from a motor vehicle,0.2398,B21 Criminal damage,0.0906,B49 Other theft,0.0819,B321 Residential non-aggravated burglary,0.0556,A232 Non-FV Common assault,0.0497,4053.5,27,16.1,,,,,,,,,,,,,,,,,,,,,,,
Hampton Park,3976,Casey,1272,2025,B42 Steal from a motor vehicle,0.1509,B21 Criminal damage,0.0896,E21 Breach family violence order,0.081,B49 Other theft,0.0755,A231 FV Common assault,0.0668,5486.1,18,45.2,South Eastern Melbourne,2025-09-30,323,470,545,475,550,640,560,38,40,51,43,42,54,29,58.9,60.6,49.5,56.7,58.2,44.2,72.0
Harkaway,3806,Casey,20,2025,B321 Residential non-aggravated burglary,0.2,B42 Steal from a motor vehicle,0.2,B21 Criminal damage,0.15,A232 Non-FV Common assault,0.1,A712 Non-FV Stalking,0.1,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Harkness,3337,Melton,444,2025,B42 Steal from a motor vehicle,0.1216,B21 Criminal damage,0.1126,E21 Breach family violence order,0.1104,A211 FV Serious assault,0.0766,A231 FV Common assault,0.0766,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Hastings,3915,Mornington Peninsula,1296,2025,B42 Steal from a motor vehicle,0.135,B21 Criminal damage,0.1088,B49 Other theft,0.1003,E21 Breach family violence order,0.0841,B43 Steal from a retail store,0.0733,5236.7,22,32.3,Mornington Peninsula,2025-09-30,360,470,550,498,595,750,580,34,40,50,40,36,42,26,63.3,60.6,50.5,59.8,64.3,56.8,75.0
Hawthorn,3122,Boroondara,1593,2025,B42 Steal from a motor vehicle,0.2392,B49 Other theft,0.1061,B321 Residential non-aggravated burglary,0.0684,B41 Motor vehicle theft,0.0628,B21 Criminal damage,0.0603,4447.7,26,19.4,Inner Eastern Melbourne,2025-09-30,450,600,850,710,950,1500,550,18,17,13,14,9,5,30,81.1,83.8,87.9,86.6,91.8,95.8,71.0
Hawthorn East,3123,Boroondara,867,2025,B42 Steal from a motor vehicle,0.2238,B43 Steal from a retail store,0.1349,B49 Other theft,0.1176,B321 Residential non-aggravated burglary,0.1003,B41 Motor vehicle theft,0.06,4447.7,26,19.4,,,,,,,,,,,,,,,,,,,,,,,
Healesville,3777,Yarra Ranges,325,2025,B21 Criminal damage,0.1262,B49 Other theft,0.1108,B42 Steal from a motor vehicle,0.0677,E21 Breach family violence order,0.0677,A212 Non-FV Serious assault,0.0523,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Heath Hill,3981,Cardinia,3,2025,B42 Steal from a motor vehicle,0.3333,B49 Other theft,0.3333,E21 Breach family violence order,0.3333,,,,,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Heatherton,3202,Kingston,166,2025,B49 Other theft,0.1627,B42 Steal from a motor vehicle,0.1386,B21 Criminal damage,0.0783,B41 Motor vehicle theft,0.0723,B43 Steal from a retail store,0.0723,5702.9,15,54.8,,,,,,,,,,,,,,,,,,,,,,,
Heathmont,3135,Maroondah,295,2025,B42 Steal from a motor vehicle,0.2373,B21 Criminal damage,0.0712,B41 Motor vehicle theft,0.0712,B321 Residential non-aggravated burglary,0.0644,E21 Breach family violence order,0.0508,5643.1,16,51.6,,,,,,,,,,,,,,,,,,,,,,,
Heidelberg,3084,Banyule,1675,2025,E23 Breach bail conditions,0.4352,B42 Steal from a motor vehicle,0.0836,B49 Other theft,0.0507,B21 Criminal damage,0.043,B43 Steal from a retail store,0.037,6137.2,13,61.3,North Eastern Melbourne,2025-09-30,450,530,650,510,600,795,565,18,30,38,38,34,38,28,81.1,70.7,62.6,61.9,66.3,61.1,73.0
Heidelberg Heights,3081,Banyule,658,2025,B42 Steal from a motor vehicle,0.2097,B49 Other theft,0.0973,B21 Criminal damage,0.0957,B41 Motor vehicle theft,0.0593,B321 Residential non-aggravated burglary,0.0547,6137.2,13,61.3,,,,,,,,,,,,,,,,,,,,,,,
Heidelberg West,3081,Banyule,999,2025,B42 Steal from a motor vehicle,0.1912,B21 Criminal damage,0.0931,B49 Other theft,0.0821,E21 Breach family violence order,0.0771,B41 Motor vehicle theft,0.0621,6137.2,13,61.3,North Eastern Melbourne,2025-09-30,450,530,650,510,600,795,565,18,30,38,38,34,38,28,81.1,70.7,62.6,61.9,66.3,61.1,73.0
Highett,3190,Kingston,835,2025,B42 Steal from a motor vehicle,0.1723,E23 Breach bail conditions,0.1238,B49 Other theft,0.0934,B43 Steal from a retail store,0.0655,B21 Criminal damage,0.0498,5702.9,15,54.8,,,,,,,,,,,,,,,,,,,,,,,
Hillside,3037,Melton,393,2025,B42 Steal from a motor vehicle,0.1571,B21 Criminal damage,0.1283,E21 Breach family violence order,0.0707,B49 Other theft,0.0654,B53 Obtain benefit by deception,0.0576,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Hoddles Creek,3139,Yarra Ranges,23,2025,E21 Breach family violence order,0.2174,B11 Cause damage by fire,0.087,B21 Criminal damage,0.087,B321 Residential non-aggravated burglary,0.087,B53 Obtain benefit by deception,0.087,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Hoppers Crossing,3029,Wyndham,3095,2025,B43 Steal from a retail store,0.1677,B42 Steal from a motor vehicle,0.1651,B49 Other theft,0.1141,B21 Criminal damage,0.0649,B322 Non-residential non-aggravated burglary,0.0517,5389.9,19,41.9,Outer Western Melbourne,2025-09-30,350,405,450,420,460,525,490,35,47,60,48,51,64,37,62.2,53.5,40.4,51.5,49.0,33.7,64.0
Hughesdale,3166,Monash,380,2025,B42 Steal from a motor vehicle,0.3079,B321 Residential non-aggravated burglary,0.0974,B49 Other theft,0.0684,B21 Criminal damage,0.0579,B41 Motor vehicle theft,0.0447,5566.4,17,48.4,Southern Melbourne,2025-09-30,405,570,750,590,730,1050,580,25,24,22,25,21,21,26,73.3,76.8,78.8,75.3,79.6,78.9,75.0
Humevale,3757,Whittlesea,8,2025,B21 Criminal damage,0.25,B41 Motor vehicle theft,0.25,A732 Non-FV Threatening behaviour,0.125,B321 Residential non-aggravated burglary,0.125,B322 Non-residential non-aggravated burglary,0.125,5327.2,21,35.5,,,,,,,,,,,,,,,,,,,,,,,
Huntingdale,3166,Monash,146,2025,B42 Steal from a motor vehicle,0.2466,B49 Other theft,0.1233,B322 Non-residential non-aggravated burglary,0.1027,B21 Criminal damage,0.0959,B41 Motor vehicle theft,0.0685,5566.4,17,48.4,,,,,,,,,,,,,,,,,,,,,,,
Hurstbridge,3099,Nillumbik,74,2025,B42 Steal from a motor vehicle,0.2027,E21 Breach family violence order,0.2027,A231 FV Common assault,0.0811,B22 Graffiti,0.0811,A232 Non-FV Common assault,0.0541,2567.5,31,3.2,North Eastern Melbourne,2025-09-30,420,490,580,500,570,600,560,24,37,46,39,39,57,29,74.4,63.6,54.5,60.8,61.2,41.1,72.0
Iona,3815,Cardinia,5,2025,B53 Obtain benefit by deception,0.4,B21 Criminal damage,0.2,B41 Motor vehicle theft,0.2,B42 Steal from a motor vehicle,0.2,,,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Ivanhoe,3079,Banyule,1098,2025,B42 Steal from a motor vehicle,0.2095,B43 Steal from a retail store,0.143,B21 Criminal damage,0.1047,B321 Residential non-aggravated burglary,0.0902,B49 Other theft,0.0811,6137.2,13,61.3,North Eastern Melbourne,2025-09-30,490,600,750,600,750,1000,600,12,17,22,24,19,23,23,87.8,83.8,78.8,76.3,81.6,76.8,78.0
Ivanhoe East,3079,Banyule,156,2025,B42 Steal from a motor vehicle,0.2484,B321 Residential non-aggravated burglary,0.1438,B41 Motor vehicle theft,0.1046,B311 Residential aggravated burglary,0.0915,E21 Breach family violence order,0.0654,6137.2,13,61.3,North Eastern Melbourne,2025-09-30,490,600,750,600,750,1000,600,12,17,22,24,19,23,23,87.8,83.8,78.8,76.3,81.6,76.8,78.0
Jacana,3047,Hume,156,2025,B42 Steal from a motor vehicle,0.1474,B49 Other theft,0.1154,E21 Breach family violence order,0.1154,B21 Criminal damage,0.1026,A211 FV Serious assault,0.0705,6346.4,11,67.7,,,,,,,,,,,,,,,,,,,,,,,
Junction Village,3977,Casey,62,2025,B42 Steal from a motor vehicle,0.2742,Other crimes against the person,0.0968,B53 Obtain benefit by deception,0.0806,E21 Breach family violence order,0.0645,A231 FV Common assault,0.0484,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Kalkallo,3064,Hume,450,2025,B42 Steal from a motor vehicle,0.1489,B49 Other theft,0.1444,B41 Motor vehicle theft,0.0889,B321 Residential non-aggravated burglary,0.0756,A211 FV Serious assault,0.0689,6346.4,11,67.7,,,,,,,,,,,,,,,,,,,,,,,
Kallista,3791,Yarra Ranges,22,2025,B322 Non-residential non-aggravated burglary,0.2727,B49 Other theft,0.1818,E21 Breach family violence order,0.1364,B42 Steal from a motor vehicle,0.0909,A231 FV Common assault,0.0455,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Kalorama,3766,Yarra Ranges,24,2025,B42 Steal from a motor vehicle,0.1667,B321 Residential non-aggravated burglary,0.125,B322 Non-residential non-aggravated burglary,0.0833,B41 Motor vehicle theft,0.0833,B49 Other theft,0.0833,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Kangaroo Ground,3097,Nillumbik,31,2025,B49 Other theft,0.1613,B21 Criminal damage,0.129,B41 Motor vehicle theft,0.129,B42 Steal from a motor vehicle,0.0645,E21 Breach family violence order,0.0645,2567.5,31,3.2,,,,,,,,,,,,,,,,,,,,,,,
Kealba,3021,Brimbank,210,2025,B42 Steal from a motor vehicle,0.2286,B49 Other theft,0.0857,B41 Motor vehicle theft,0.081,B21 Criminal damage,0.0762,E13 Resist or hinder officer,0.0667,7366.8,9,74.2,,,,,,,,,,,,,,,,,,,,,,,
Keilor,3036,Brimbank,197,2025,B42 Steal from a motor vehicle,0.2386,E22 Breach intervention order,0.0812,B49 Other theft,0.0761,B21 Criminal damage,0.066,B322 Non-residential non-aggravated burglary,0.0558,7366.8,9,74.2,North Western Melbourne,2025-09-30,,,,,630,730,650,,,,,30,44,17,,,,,70.4,54.7,84.0
Keilor Downs,3038,Brimbank,490,2025,B42 Steal from a motor vehicle,0.1837,B43 Steal from a retail store,0.1122,B21 Criminal damage,0.0837,E21 Breach family violence order,0.0796,B49 Other theft,0.0755,7366.8,9,74.2,,,,,,,,,,,,,,,,,,,,,,,
Keilor East,3033,Brimbank,561,2025,B42 Steal from a motor vehicle,0.2299,B49 Other theft,0.098,B21 Criminal damage,0.0749,E21 Breach family violence order,0.0731,B41 Motor vehicle theft,0.0428,7366.8,9,74.2,Outer Western Melbourne,2025-09-30,450,520,623,520,580,768,550,18,32,41,36,38,41,30,81.1,68.7,59.6,63.9,62.2,57.9,71.0
Keilor Lodge,3038,Brimbank,23,2025,B42 Steal from a motor vehicle,0.2174,B49 Other theft,0.1739,A231 FV Common assault,0.1304,A211 FV Serious assault,0.087,A232 Non-FV Common assault,0.0435,7366.8,9,74.2,,,,,,,,,,,,,,,,,,,,,,,
Keilor North,3036,Brimbank,22,2025,E13 Resist or hinder officer,0.2273,B42 Steal from a motor vehicle,0.1818,B49 Other theft,0.1364,B322 Non-residential non-aggravated burglary,0.0909,B41 Motor vehicle theft,0.0909,7366.8,9,74.2,,,,,,,,,,,,,,,,,,,,,,,
Keilor Park,3042,Brimbank,216,2025,B42 Steal from a motor vehicle,0.1759,B49 Other theft,0.125,B21 Criminal damage,0.1157,B322 Non-residential non-aggravated burglary,0.0833,B41 Motor vehicle theft,0.0694,7366.8,9,74.2,,,,,,,,,,,,,,,,,,,,,,,
Kensington,3031,Melbourne,1097,2025,B42 Steal from a motor vehicle,0.3263,B49 Other theft,0.0902,B41 Motor vehicle theft,0.0775,B21 Criminal damage,0.072,B321 Residential non-aggravated burglary,0.0501,17671.9,1,100.0,Inner Melbourne,2025-09-30,470,560,850,620,760,945,570,14,25,13,23,18,26,27,85.6,75.8,87.9,77.3,82.7,73.7,74.0
